# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGID	COGIDS	BORID	CONCEPT_IN_SOURCE
6887	ToroSo	SALT	nèẃ	nèẃ	n ¹/e + w	1642	3467 3468	0	
6888	BonduSo	SALT	nɛ́mù	nɛ́mù	n ⁵/ɛ + m ¹/u	1642	3467 3462	0	
#
6889	Bangime	SAND	ɲíímbɛ̀	ɲíímbɛ̀	ɲ ⁵/iː + ⁿb ¹/ɛ	2533	3477 3478	0	
6890	Fulfulde	SAND	njaareendi	njaareendi	ⁿdʒ aː r eː + ⁿd i	211	3489 5221	0	
6891	Jenaama	SAND	sɔ̀ⁿ-sɔ̀ⁿ	sɔ̀ⁿ-sɔ̀ⁿ	s ɔ̃ + s ɔ̃	3233	3476 3476	5607	
6892	BozoHainyaxo	SAND	tɔɔ	tɔɔ	t ɔː	3231	3476	0	
6893	BozoPondorinord	SAND	sieⁿ	sieⁿ	s ĩ ẽ	3233	3483	5607	
6894	BozoTieyaxo	SAND	xaⁿmu	xaⁿmu	x ã m u	3232	3484	0	
6895	BozoPondorisud	SAND	siɛⁿdu	siɛⁿdu	s ĩ ɛ̃ d u	3234	3483	5611	
6896	BozoKotya	SAND	cɔⁿcɔⁿ	cɔⁿcɔⁿ	tʃ ɔ̃ + tʃ ɔ̃	3231	3476 3476	0	
6897	BozoTiemaCewe	SAND	kɛⁿɛⁿɲɛⁿ	kɛⁿɛⁿɲɛⁿ	k ɛ̃ː ɲ ɛ̃	3235	3485	0	
6898	BozoDebo	SAND	soⁿsoⁿ	soⁿsoⁿ	s õ + s õ	3233	3483 3483	5607	
6899	BozoKorondougounord	SAND	sieⁿsioⁿ	sieⁿsioⁿ	s ĩ ẽ + s i õ	3233	3483 3483	5607	
6900	BozoKorondougousud	SAND	siⁿɛⁿsiⁿoⁿ	siⁿɛⁿsiⁿoⁿ	s ĩ ∼/ɛ + s ĩ õ	3233	3483 3483	5607	
6901	Soninke	SAND	sèyê	sèyê	s ¹/e j ⁵¹/e	3236	3492	5626	
6902	Soninke	SAND	sèyéŋŋè	sèyéŋŋè	s ¹/e j ⁵/e ŋ + ŋ ¹/e	3236	3492 4845	5626	
6903	ToroTegu	SAND	ìsò-súměy	ìsò-súměy	¹/i s ¹/o + s ⁵/u m ¹⁵/e + j	1656	3474 3479 4844	0	
6904	BenTey	SAND	sùmòy-sô:	sùmòy-sô:	s ¹/u m ¹/o + j + s ⁵¹/oː	1649	3479 4844 3480	0	
6905	BankanTey	SAND	sùmbày bú:rù	sùmbày_bú:rù	s ¹/u ⁿb ¹/a + j + b ⁵/uː r ¹/u	1648	3479 4844 3475	0	
6906	Nanga	SAND	sɔ̀:mbɔ̀ sɛ́:rⁿɛ̀, sɛ́:rⁿɛ̀	sɔ̀:mbɔ̀_sɛ́:rⁿɛ̀	s ¹/ɔː ⁿb ¹/ɔ + s ⁵/ɛː ∼/r̃ ¹/ɛ	1648	3480 3493	0	
6907	PergeTegu	SAND	sù-sǔm	sù-sǔm	s ¹/u + s ¹⁵/u + m	1651	3474 3480 3491	5607	
6908	Gourou	SAND	sìsɔ̌m	sì-sɔ̌m	s ¹/i + s ¹⁵/ɔ + m	1651	3474 3480 3491	5607	
6909	YornoSo	SAND	sù-sǒm	sù-sǒm	s ¹/u + s ¹⁵/o + m	1651	3474 3480 3491	5607	
6910	TommoSo	SAND	sɔ̀lùmɔ́	sɔ̀l-ùmɔ́	s ¹/ɔ l + ¹/u m ⁵/ɔ	1654	3480 3488	0	
6911	DogulDom	SAND	sɔ̀nnɔ̀ ísìlè	sɔ̀nnɔ̀_ísìlè	s ¹/ɔ n n ¹/ɔ + ⁵/i s ¹/i l ¹/e	1653	3481 3486	0	
6912	DogulDom	SAND	sòònnò ísílɛ́	sòònnò_ísílɛ́	s ¹/oː n n ¹/o + ⁵/i s ⁵/i l ⁵/ɛ	1653	3481 3486	0	
6913	TebulUre	SAND	sɔ̀lmɔ́	sɔ̀l-mɔ́	s ¹/ɔ l + m ⁵/ɔ	1654	3479 3488	0	
6914	YandaDom	SAND	sɔ̀nzɔ̀m	sɔ̀n-zɔ̀m	s ¹/ɔ n + z ¹/ɔ + m	1651	3481 3480 3491	5607	
6915	BonduSo	SAND	sɔ̀ⁿnɛ́ndɛ̀	sɔ̀ⁿn-ɛ́ndɛ̀	s ɔ̃ n + ⁵/ɛ ⁿd ¹/ɛ	1650	3481 3482	0	
6916	Ampari	SAND	só: bùgàrè	só:_bùgàrè	s ⁵/oː + b ¹/u ɡ ¹/a r ¹/e	1646	3474 3475	0	
6917	Bunoge	SAND	só:njà	só:njà	s ⁵/oː ⁿdʒ ¹/a	1652	320	5611	
6918	DonnoSo	SAND	sɔ̀lɔ̀mmɔ́	sɔ̀lɔ̀-mmɔ́	s ¹/ɔ l ¹/ɔ + m + m ⁵/ɔ	1654	3479 3487 3488	0	
6919	Jamsay	SAND	sì-sɔ̌m, sù-sɔ̌m	sì-sɔ̌m	s ¹/i + s ¹⁵/ɔ + m	1651	3474 3480 3491	5607	
6920	TiranigeDiga	SAND	síyɔ́wⁿ	síyɔ́wⁿ	s ⁵/i j ⁵/ɔ + w̃	1655	3495 4846	5626	
6921	Mombo	SAND	sóyndà	sóyndà	s ⁵/o j + ⁿd ¹/a	1650	3492 3490	0	
6922	Penange	SAND	sòyndà	sòyndà	s ¹/o j + ⁿd ¹/a	1650	3492 3490	0	
6923	SonghaiSenni	SAND	dèy-sàs-ò	dèy-sàs-ò	d ¹/e j + s ¹/a s + ¹/o	3787	5222 5223 3494	5607	
6924	TogoKan	SAND	sɔ̀ⁿsɔ̀nɔ́	sɔ̀ⁿsɔ̀nɔ́	s ¹/ɔ̃ + s ¹/ɔ n ⁵/ɔ	1651	3476 3481	5607	
6925	Bambara	SAND	cɛⁿcɛⁿ	cɛⁿcɛⁿ	tʃ ɛ̃ + tʃ ɛ̃	3231	3476 3476	0	
#
6926	Bangime	SAY	kéndé	kéndé	k ⁵/e ⁿd ⁵/e	2534	5071	5633	
6927	Fulfulde	SAY	wiyde	wiyde	w i j d e	212	3500	0	
6928	SonghaiSenni	SAY	nê	nê	n ⁵¹/e	3788	5404	5632	
6929	BozoKotya	SAY	si	si	s i	3239	3498	5638	
6930	BozoKotya	SAY	ce	ce	tʃ e	3238	322	5634	
6931	BozoKotya	SAY	cɛwɛ	cɛwɛ	tʃ ɛ w ɛ	3238	322	5634	
6932	BozoKotya	SAY	se	se	s e	3239	3498	5638	
6933	BozoKotya	SAY	se	se	s e	3239	3498	5638	
6934	BozoKotya	SAY	se	se	s e	3239	3498	5638	
6935	BozoPondorisud	SAY	sii	sii	s iː	3239	3498	5638	
6936	BozoPondorisud	SAY	se	se	s e	3239	3498	5638	
6937	BozoPondorisud	SAY	sei	sei	s e i	3239	3498	5638	
6938	BozoTiemaCewe	SAY	kó	kó	k ⁵/o	3237	3496	5633	
6939	BozoTiemaCewe	SAY	kòní	kòní	k ¹/o n ⁵/i	3237	3496	5633	
6940	BozoTiemaCewe	SAY	fɔ́	fɔ́	f ⁵/ɔ	3240	3503	0	
6941	BozoHainyaxo	SAY	kó	kó	k ⁵/o	3237	3496	5633	
6942	Jamsay	SAY	tègú tégé	tègú_tégé	t ¹/e ɡ ⁵/u + t ⁵/e ɡ ⁵/e	1661	3497 3501	0	
6943	Ampari	SAY	nɛ́	nɛ́	n ⁵/ɛ	1657	327	5632	
6944	ToroTegu	SAY	tégú	tégú	t ⁵/e ɡ ⁵/u	1658	3497	5634	
6945	Nanga	SAY	tíŋí, dàmá	tíŋí	t ⁵/i ŋ ⁵/i	1658	3497	5634	
6946	TogoKan	SAY	tíŋɛ́	tíŋɛ́	t ⁵/i ŋ ⁵/ɛ	1658	3497	5634	
6947	TommoSo	SAY	sɔ́ɔ́	sɔ́ɔ́	s ⁵/ɔː	1659	3498	5638	
6948	DogulDom	SAY	dàmé	dàmé	d ¹/a m ⁵/e	1658	3497	5634	
6949	TebulUre	SAY	ɔ́r (ɔ́r-tì-)	ɔ́r	⁵/ɔ r	1662	3502	0	
6950	Bunoge	SAY	tágè, tá:yè	tágè	t ⁵/a ɡ ¹/e	1658	3497	5634	
6951	DonnoSo	SAY	sɔ́yy-ɛ̀:-	sɔ́yy-ɛ̀:	s ⁵/ɔ j + j ¹/ɛː	1660	3498 3499	0	
6952	TiranigeDiga	SAY	dám(ú)	dám	d ⁵/a m	1658	3497	5634	
6953	Mombo	SAY	dámí	dámí	d ⁵/a m ⁵/i	1658	3497	5634	
6954	Penange	SAY	dám	dám	d ⁵/a m	1658	3497	5634	
6955	BankanTey	SAY	té:	té:	t ⁵/eː	1658	3497	5634	
6956	BenTey	SAY	tégé	tégé	t ⁵/e ɡ ⁵/e	1658	3497	5634	
6957	BonduSo	SAY	dǎm	dǎm	d ¹⁵/a m	1658	3497	5634	
6958	PergeTegu	SAY	tégé	tégé	t ⁵/e ɡ ⁵/e	1658	3497	5634	
6959	YandaDom	SAY	dǎm	dǎm	d ¹⁵/a m	1658	3497	5634	
6960	YornoSo	SAY	tégé	tégé	t ⁵/e ɡ ⁵/e	1658	3497	5634	
6961	BonduSo	SAY	dám	dám	d ⁵/a m	1658	3497	5634	
#
6962	BankanTey	SCALE	kòkòmbû:	kòkòmbû:	k ¹/o + k ¹/o + ⁿb ⁵¹/uː	1665	3504 3505 3506	5665	
6963	BenTey	SCALE	cɛ̂:	cɛ̂:	tʃ ⁵¹/ɛː	1666	3504	0	
6964	Bunoge	SCALE	kɛ̀jɛ̀lɛ̀	kɛ̀jɛ̀lɛ̀	k ¹/ɛ dʒ ¹/ɛ + l ¹/ɛ	1668	3507 3508	0	
6965	DogulDom	SCALE	kòbùlúŋ	kòbùlúŋ	k ¹/o + b ¹/u l ⁵/u + ŋ	1669	3504 3509 3510	0	
6966	BonduSo	SCALE	kògô:	kògô:	k ¹/o ɡ ⁵¹/oː	1667	3504	5668	
6967	Nanga	SCALE	kɛ̂:	kɛ̂:	k ⁵¹/ɛː	1664	3504	5665	
6968	TebulUre	SCALE	cɛ́bdɛ́	cɛ́bdɛ́	tʃ ⁵/ɛ b + d ⁵/ɛ	1671	3515 3516	0	
6969	TogoKan	SCALE	kò-kǒ:	kò-kǒ:	k ¹/o + k ¹⁵/oː	1665	3504 3505	0	
6970	TommoSo	SCALE	kɛ́bɛ́dɛ́	kɛ́bɛ́dɛ́	k ⁵/ɛ b ⁵/ɛ + d ⁵/ɛ	1670	3507 3516	0	
6971	YandaDom	SCALE	cɛ́bzɛ́	cɛ́bzɛ́	tʃ ⁵/ɛ b + z ⁵/ɛ	1671	3519 3520	0	
6972	YornoSo	SCALE	kòbìlì-ý	kòbìlì-ý	k ¹/o + b ¹/i l ¹/i + j	1669	3504 3509 3521	0	
6973	ToroTegu	SCALE	kǒw, pómó	kǒw	k ¹⁵/o + w	1664	3504 3518	5665	
6974	Jamsay	SCALE	kì-kǒw	kì-kǒw	k ¹/i + k ¹⁵/o + w	1665	3504 3505 3506	0	
6975	Mombo	SCALE	gújù	gújù	ɡ ⁵/u dʒ ¹/u	1668	3507	0	
6976	Penange	SCALE	kòmbòl-yè	kòmbòl-yè	k ¹/o ⁿb ¹/o l + j ¹/e	1670	3507 3514	0	
6977	TiranigeDiga	SCALE	nɛ̀mɛ̀	nɛ̀mɛ̀	n ¹/ɛ m ¹/ɛ	1672	3517	0	
6979	PergeTegu	SCALE	kɛ̂:	kɛ̂:	k ⁵¹/ɛː	1664	3504	5665	
6980	TomoKan	SCALE	kú:	kú:	k ⁵/uː	1664	3504	5665	
6981	Bangime	SCALE	kūjɛ̀	kūjɛ̀	k ³/u j ¹/ɛ	2535	5072	5665	
6982	Fulfulde	SCALE	hefere	hefe-re	h e f e + r e	213	3511 3512	0	
6983	Jenaama	SCALE	wógō (2)	wógō	w ⁵/o ɡ ³/o	3241	3513	5668	
#
6984	BenTey	SEE	yǐ	yǐ	j ¹⁵/i	1678	3522	5708	
6985	BankanTey	SEE	yí	yí	j ⁵/i	1678	3522	5708	
6986	Nanga	SEE	yǐ:	yǐ:	j ¹⁵/iː	1678	3522	5708	
6987	PergeTegu	SEE	yɛ̌:	yɛ̌:	j ¹⁵/ɛː	1678	3522	5708	
6988	YornoSo	SEE	yé:	yé:	j ⁵/eː	1678	3522	5708	
6989	TommoSo	SEE	yɛ̀	yɛ̀	j ¹/ɛ	1678	3522	5708	
6990	DogulDom	SEE	wɛ̌:	wɛ̌:	w ¹⁵/ɛː	1674	3526	0	
6991	TebulUre	SEE	yí (yí-bì- or yì-sɔ́-, neg yǎ-l)	yí	j ⁵/i	1678	3522	5708	
6992	BonduSo	SEE	yɛ́	yɛ́	j ⁵/ɛ	1678	3522	5708	
6993	Ampari	SEE	yô: (ywé, ywé:-rí)	yô:	j ⁵¹/oː	1678	3522	5708	
6994	TiranigeDiga	SEE	bálí-yó	bálí-yó	b ⁵/a l ⁵/i + j ⁵/o	1673	5225 3522	5694	
6995	Penange	SEE	málgè	málgè	m ⁵/a l + ɡ ¹/e	1676	3529 3523	0	
6996	Bangime	SEE	jāà	jāà	j ³¹/aː	2536	5073	5708	
6997	Fulfulde	SEE	yiyde	yiy-de	j i j + d e	214	5226 3527	0	
6998	Jenaama	SEE	ā-kày	ā-kày	³/a + k ¹/a j	3246	3528 3523	0	
6999	Mombo	SEE	mályê:	mályê:	m ⁵/a l + j ⁵¹/eː	1676	3529 3522	0	
7000	TogoKan	SEE	ɔ̌:	ɔ̌:	¹⁵/ɔː	1675	3530	0	
7001	ToroTegu	SEE	wɔ́	wɔ́	w ⁵/ɔ	1674	3526	0	
7002	YandaDom	SEE	wɔ́	wɔ́	w ⁵/ɔ	1674	3526	0	
7003	Jamsay	SEE	ɛ̌:	ɛ̌:	¹⁵/ɛː	1675	3522	0	
7004	BozoHainyaxo	SEE	he	he	h e	3243	3524	0	
7005	BozoPondorinord	SEE	kai	kai	k a i	3242	3523	0	
7006	BozoTieyaxo	SEE	xali	xali	a l i	3245	3523	5694	
7007	BozoPondorisud	SEE	kai	kai	k a i	3242	3523	0	
7008	BozoKotya	SEE	kai	kai	k a i	3242	3523	0	
7009	BozoTiemaCewe	SEE	toⁿoⁿŋoⁿ	toⁿoⁿŋoⁿ	t õ: ŋ õ	3244	3525	0	
7010	BozoDebo	SEE	kai	kai	k a i	3242	3523	0	
7011	BozoKorondougounord	SEE	kai	kai	k a i	3242	3523	0	
7012	BozoKorondougousud	SEE	kai	kai	k a i	3242	3523	0	
7013	Bambara	SEE	yé	yé	j ⁵/e	3249	5224	5708	
7014	Soninke	SEE	ŋàrí	ŋàrí	ŋ ¹/a r ⁵/i	3248	3523	0	
7016	ToroSo	SEE	ìyè	ìyè	¹/i + j ¹/e	1678	3522 3522	5708	
7018	BonduSo	SEE	jí	jí	j ⁵/i	1678	3522	5708	
#
7019	SonghaiSenni	SELL	né:rê	né:rê	n ⁵/eː r ⁵¹/e	3789	3543	5723	
7020	ToroTegu	SELL	dɔ̀rú	dɔ̀rú	d ¹/ɔ r ⁵/u	1681	3536	5711	
7021	BenTey	SELL	tíyɛ́	tíyɛ́	t ⁵/i j ⁵/ɛ	1681	3535	5711	
7022	Nanga	SELL	túrɔ́	túrɔ́	t ⁵/u r ⁵/ɔ	1681	3536	5711	
7023	PergeTegu	SELL	dɔ̀rⁿɔ́	dɔ̀rⁿɔ́	d ¹/ɔ ∼/r̃ ⁵/ɔ	1681	3536	5711	
7024	YornoSo	SELL	dɔ̀rⁿɔ́-	dɔ̀rⁿɔ́	d ¹/ɔ ∼/r̃ ⁵/ɔ	1681	3536	5711	
7025	TommoSo	SELL	dónú dɔ̀nɔ́	dónú_dɔ̀nɔ́	d ⁵/o n ⁵/u + d ¹/ɔ n ⁵/ɔ	1679	3536 3545	5709	
7026	TebulUre	SELL	dòrⁿɔ́ (dòrⁿɔ́-tì-, dòrⁿà-lí-)	dòrⁿɔ́	d ¹/o ∼/r̃ ⁵/ɔ	1681	3536	5711	
7027	YandaDom	SELL	dòrⁿɔ́	dòrⁿɔ́	d ¹/o ∼/r̃ ⁵/ɔ	1681	3536	5711	
7028	BonduSo	SELL	túlɛ́	túlɛ́	t ⁵/u l ⁵/ɛ	1681	3536	5711	
7029	Bunoge	SELL	só:-lè	só:lè	s ⁵/oː l ¹/e	1682	3537	86	
7030	DonnoSo	SELL	dɔ̀nɔ́	dɔ̀nɔ́	d ¹/ɔ n ⁵/ɔ	1681	3536	5711	
7031	TiranigeDiga	SELL	túlɔ́	túlɔ́	t ⁵/u l ⁵/ɔ	1681	3536	5711	
7032	Mombo	SELL	só:lè	só:lè	s ⁵/oː l ¹/e	1682	3537	86	
7033	Penange	SELL	sógú-lè	sógú-lè	s ⁵/o ɡ ⁵/u + l ¹/e	1683	3541 3542	86	
7034	Bangime	SELL	tūn-dò (1)	tūn-dò	t ³/u n + d ¹/o	2537	3533 3534	5709	
7035	Fulfulde	SELL	sottude	sott-ude	s o t t + u d e	215	3538 3539	86	
7036	Jenaama	SELL	à-tōlō	à-tōlō	¹/a + t ³/o l ³/o	3252	3540 3536	5711	
7037	BankanTey	SELL	tíyɛ́	tíyɛ́	t ⁵/i j ⁵/ɛ	1681	3535	5711	
7038	TogoKan	SELL	dɔ̀rⁿɔ́	dɔ̀rⁿɔ́	d ¹/ɔ ∼/r̃ ⁵/ɔ	1681	3536	5711	
7039	Jamsay	SELL	dɔ̀rⁿɔ́	dɔ̀rⁿɔ́	d ¹/ɔ ∼/r̃ ⁵/ɔ	1681	3536	5711	
7040	Soninke	SELL	gáágà	gáágà	ɡ ⁵/a: ɡ ¹/a	3254	3544	0	
7041	Bambara	SELL	dádígí	dádígí	d ⁵/a + d ⁵/i ɡ ⁵/i	3250	3531 3532	5709	
7042	Bambara	SELL	fèéré	fèéré	f ¹⁵/eː r ⁵/e	3253	3546	5723	
#
7043	BozoDebo	SEND	kaⁿiⁿ	kaⁿiⁿ	k ã ĩ	3256	3549	0	
7044	BozoHainyaxo	SEND	hijɛⁿnɛⁿ	hijɛⁿnɛⁿ	h i dʒ ∼/ɛ n ∼/ɛ	3257	3550	0	
7045	BozoKorondougounord	SEND	kaⁿiⁿ	kaⁿiⁿ	k ã ĩ	3256	3549	0	
7046	BozoKorondougousud	SEND	kaⁿiⁿ	kaⁿiⁿ	k ã ĩ	3256	3549	0	
7047	BozoKotya	SEND	kaⁿiⁿ	kaⁿiⁿ	k ã ĩ	3256	3549	0	
7048	BozoPondorinord	SEND	kaⁿiⁿ	kaⁿiⁿ	k ã ĩ	3256	3549	0	
7049	BozoPondorisud	SEND	deⁿniⁿ	deⁿniⁿ	d ẽ n ĩ	3257	3550	0	
7050	BozoTieyaxo	SEND	xaⁿiⁿ	xaⁿiⁿ	x ã ĩ	3256	3549	0	
7051	BozoTiemaCewe	SEND	kaⁿiⁿ	kaⁿiⁿ	k ã ĩ	3256	3549	0	
7052	ToroTegu	SEND	tíw	tíw	t ⁵/i w	1684	3547	5725	
7053	BenTey	SEND	bà:rí	bà:rí	b ¹/aː r ⁵/i	1685	3548	0	
7054	BankanTey	SEND	tí	tí	t ⁵/i	1684	3547	5725	
7055	Nanga	SEND	bǎ:rí, bǎ:rí tíyí	bǎ:rí	b ¹⁵/aː r ⁵/i	1685	3548	0	
7056	PergeTegu	SEND	tí:	tí:	t ⁵/iː	1684	3547	5725	
7057	TogoKan	SEND	bǎ:rì, bǎ:rì tí	bǎ:rì	b ¹⁵/aː r ¹/i	1685	3548	0	
7058	YornoSo	SEND	túy	túy	t ⁵/u j	1684	3547	5725	
7059	TommoSo	SEND	túyó	túyó	t ⁵/u j ⁵/o	1684	3547	5725	
7060	DogulDom	SEND	tìyɛ́	tìyɛ́	t ¹/i j ⁵/ɛ	1684	3547	5725	
7061	TebulUre	SEND	tí (PerfNeg tìyà-lí-)	tí	t ⁵/i	1684	3547	5725	
7062	YandaDom	SEND	tɔ́	tɔ́	t ⁵/ɔ	1684	3547	5725	
7063	Bunoge	SEND	tí:wɛ̀	tí:wɛ̀	t ⁵/iː w ¹/ɛ	1684	3547	5725	
7064	DonnoSo	SEND	tê:	tê:	t ⁵¹/eː	1684	3547	5725	
7065	Jamsay	SEND	bà:rá tí:, tí:, bà:rá	bà:rá_tí:	b ¹/aː r ⁵/a + t ⁵/iː	1685	3548 3551	0	
7066	Mombo	SEND	ɲáŋgúrè	ɲáŋgúrè	ɲ ⁵/a ⁿɡ ⁵/u + r ¹/e	1687	3552 3553	0	
7067	Penange	SEND	ɲágúrè	ɲágúrè	ɲ ⁵/a ɡ ⁵/u + r ¹/e	1687	3552 3553	0	
7068	BonduSo	SEND	tíyɛ́	tíyɛ́	t ⁵/i j ⁵/ɛ	1684	3547	5725	
7069	TiranigeDiga	SEND	tíyɛ́	tíyɛ́	t ⁵/i j ⁵/ɛ	1684	3547	5725	
7070	Soninke	SEND	qíyí	qíyí	q ⁵/i j ⁵/i	3256	3549	0	
7071	Bambara	SEND	cí	cí	tʃ ⁵/i	3255	5227	5725	
7072	BonduSo	SEND	tíyɛ̀	tíyɛ̀	t ⁵/i j ¹/ɛ	1684	3547	5725	
9632	Bangime	SEND	tūndò		t ³/u n + d ¹/o	2905	330 0	5725	
#
7073	ToroTegu	SEVEN	sóyⁿ	sóyⁿ	s ⁵/o + ∼/j	1689	3554 3555	0	
7074	BenTey	SEVEN	súyⁿɔ̀yⁿ	súyⁿɔ̀yⁿ	s ⁵/u ∼/j ¹/ɔ + ∼/j	1688	3554 3555	5745	
7075	BankanTey	SEVEN	síyⁿɔ̀yⁿ	síyⁿɔ̀yⁿ	s ⁵/i ∼/j ¹/ɔ + ∼/j	1688	3554 3555	5745	
7076	Nanga	SEVEN	súyɛ̂	súyɛ̂	s ⁵/u + j ¹⁵/ɛ	1689	3554 3560	0	
7077	PergeTegu	SEVEN	sûyⁿ	sûyⁿ	s ⁵¹/u + ∼/j	1689	3554 3555	0	
7078	TogoKan	SEVEN	sɔ̂:	sɔ̂:	s ⁵¹/ɔː	1689	3554	0	
7079	YornoSo	SEVEN	sɔ̂y	sɔ̂y	s ⁵¹/ɔ + j	1689	3554 3555	0	
7080	TommoSo	SEVEN	sɔ́y	sɔ́y	s ⁵/ɔ + j	1689	3554 3555	0	
7081	DogulDom	SEVEN	sɔ̂:y	sɔ̂:y	s ⁵¹/ɔː + j	1689	3554 3555	0	
7082	TebulUre	SEVEN	sɔ́	sɔ́	s ⁵/ɔ	1689	3554	0	
7083	YandaDom	SEVEN	swɛ́:, yè-swɛ́:	swɛ́:	s w ⁵/ɛː	1689	3554	0	
7084	BonduSo	SEVEN	swɛ̂y	swɛ̂y	s w ¹⁵/ɛ + j	1689	3554 3555	0	
7085	Ampari	SEVEN	sɔ́:y	sɔ́:y	s ⁵/ɔː + j	1689	3554 3555	0	
7086	Bunoge	SEVEN	sɔ́:wⁿ	sɔ́:wⁿ	s ɔː + w̃	1689	3554 4847	0	
7087	Mombo	SEVEN	sɔ́:lì	sɔ́:lì	s ɔː l ¹/i	1691	3554	0	
7088	Penange	SEVEN	sɔ̀:lì, X-gè sɔ́:lì	sɔ̀:lì	s ¹/ɔː l ¹/i	1691	3554	0	
7089	Bangime	SEVEN	kííjè	kííjè	k ⁵/iː j ¹/e	2539	3557	5745	
7090	Fulfulde	SEVEN	jeɗɗi	jeɗɗi	dʒ e ɗ ɗ i	216	3559	0	
7091	Jenaama	SEVEN	yìyènì	yìyènì	j ¹/i j ¹/e n ¹/i	3259	3558	0	
7092	TiranigeDiga	SEVEN	sɔ́:y	sɔ́:y	s ⁵/ɔː + j	1689	3554 3555	0	
7093	Jamsay	SEVEN	sûyⁿ	sûyⁿ	s ⁵¹/u + ∼/j	1689	3554 3555	0	
7094	BozoHainyaxo	SEVEN	jieⁿŋi	jieⁿŋi	dʒ ĩ ẽ ŋ i	3260	3558	0	
7095	BozoPondorinord	SEVEN	yiɛⁿni	yiɛⁿni	j ĩ ∼/ɛ n i	3259	3558	0	
7096	BozoTieyaxo	SEVEN	jeⁿni	jeⁿni	dʒ ẽ n i	3260	3558	0	
7097	BozoPondorisud	SEVEN	yiɛⁿni	yiɛⁿni	j ĩ ∼/ɛ n i	3259	3558	0	
7098	BozoKotya	SEVEN	jɛⁿɛⁿniⁿ	jɛⁿɛⁿniⁿ	dʒ ∼/ɛ: n ĩ	3260	3558	0	
7099	BozoTiemaCewe	SEVEN	diojɛⁿɛⁿni	diojɛⁿɛⁿni	d i o dʒ ∼/ɛː n i	3260	3558	0	
7100	BozoDebo	SEVEN	yiɛⁿniⁿ	yiɛⁿniⁿ	j ĩ ∼/ɛ n ĩ	3259	3558	0	
7101	BozoKorondougounord	SEVEN	yiɛⁿniⁿ	yiɛⁿniⁿ	j ĩ ∼/ɛ n ĩ	3259	3558	0	
7102	BozoKorondougousud	SEVEN	yɛⁿɛⁿniⁿ	yɛⁿɛⁿniⁿ	j ∼/ɛ: n ĩ	3259	3558	0	
7103	Soninke	SEVEN	ɲérú	ɲérú	ɲ ⁵/e r ⁵/u	3261	3562	0	
7104	Bambara	SEVEN	wólóⁿwùlá	wólóⁿwùlá	w ⁵/o l ⁵/õ + w ¹/u l ⁵/a	3258	3556 3556	0	
7105	SonghaiSenni	SEVEN	ʔí:yê	ʔí:yê	ʔ ⁵/iː j ⁵¹/e	3790	3561	5745	
7106	ToroSo	SEVEN	sɔ́y	sɔ́y	s ⁵/ɔ + j	1689	3554 3555	0	
7107	ToroSo	SEVEN	sɔ̂j	sɔ̂j	s ⁵¹/ɔ + j	1689	3554 3555	0	
7108	BonduSo	SEVEN	sɔ̀yɛ́ⁿ	sɔ̀yɛ́ⁿ	s ¹/ɔ + j ⁵/ɛ	1689	3554 3560	0	
#
7109	Bangime	SEW	ɕìì-rì	ɕìì-rì	ɕ ¹/iː + r ¹/i	2540	3563 5074	0	
7110	Fulfulde	SEW	ɲoowude	ɲoow-ude	ɲ oː w + u d e	217	3569 3570	0	
7111	Jenaama	SEW	à-dēbē	à-dēbē	¹/a + d ³/e b ³/e	3263	3572 3567	0	
7112	BozoDebo	SEW	debe	debe	d e b e	3263	3567	0	
7113	BozoKorondougounord	SEW	debe	debe	d e b e	3263	3567	0	
7114	BozoKorondougousud	SEW	debe	debe	d e b e	3263	3567	0	
7115	BozoPondorisud	SEW	dɛbɛ	dɛbɛ	d ɛ b ɛ	3263	3567	0	
7116	ToroTegu	SEW	átú	átú	⁵/a t ⁵/u	1696	3571	5781	
7117	BenTey	SEW	kúyó	kúyó	k ⁵/u j ⁵/o	1693	3565	0	
7118	BankanTey	SEW	kó	kó	k ⁵/o	1692	3565	0	
7119	Gourou	SEW	ásárá	ásárá	⁵/a s ⁵/a + r ⁵/a	1695	3571 3564	0	
7120	TogoKan	SEW	tǔⁿ ájìrì	tǔⁿ_ájìrì	t ¹⁵/ũ + ⁵/a dʒ ¹/i r ¹/i	1695	3571 3574	0	
7121	YornoSo	SEW	lɔ́:	lɔ́:	l ɔː	1702	3578	0	
7122	TommoSo	SEW	nɔ̌y nɔ́ɔ́	nɔ̌y_nɔ́ɔ́	n ¹⁵/ɔ j + n ⁵/ɔː	1699	3575 3576	0	
7123	DogulDom	SEW	ɔ́wɛ̀	ɔ́wɛ̀	⁵/ɔ w ¹/ɛ	1694	3568	0	
7124	TebulUre	SEW	pɛ́:y (pɛ́:y-tì-)	pɛ́:y	p ⁵/ɛː j	1698	3573	0	
7125	YandaDom	SEW	píyɛ́	píyɛ́	p ⁵/i j ⁵/ɛ	1693	3573	0	
7126	Bunoge	SEW	kê:	kê:	k ⁵¹/eː	1692	3565	0	
7127	Mombo	SEW	kúyé	kúyé	k ⁵/u j ⁵/e	1692	3565	0	
7128	BonduSo	SEW	kóy	kóy	k ⁵/o j	1692	3566	0	
